profile,macro_state_label,persona_risk_tolerance,persona_time_horizon,persona_loss_aversion,persona_macro_sensitivity,inflation,cycle,unemployment,monetary,stress,ideal_Mkt-RF,ideal_SMB,ideal_HML,ideal_RMW,ideal_CMA,ideal_Alpha
Aggressive,Expansion,0.5701913999999999,0.5268239,0.5499632,0.45925916499999997,0.5928846153846155,0.7926923076923077,0.16999999999999998,0.769423076923077,0.17865384615384614,1.1129501571609863,0.27437321345391225,0.05663663555726692,0.12642809341497918,-0.04306226219036192,0.013800191607206618
Balanced,Expansion,0.56685595,0.5268239,0.554992795,0.45925916499999997,0.5928846153846155,0.7926923076923077,0.16999999999999998,0.769423076923077,0.17865384615384614,1.0956452151076834,0.23950604596720043,0.13936959502980475,0.12381659147564085,-0.021695675237452555,0.013235213188164025
Conservative,Expansion,0.5622726650000001,0.5268239,0.557672755,0.45925916499999997,0.5928846153846155,0.7926923076923077,0.16999999999999998,0.769423076923077,0.17865384615384614,1.0751329976406108,0.20050191813084192,0.23242739284348773,0.12177403835269338,0.0018634560308548043,0.01248633457182033
Macro-Sensitive,Expansion,0.56685595,0.5268239,0.554992795,0.46734189,0.5928846153846155,0.7926923076923077,0.16999999999999998,0.769423076923077,0.17865384615384614,1.0732945406592336,0.1957167100410021,0.2530659044019055,0.11953927696981742,0.003930999946727708,0.012187226405161044
Aggressive,Inflationary Tightening,0.5701913999999999,0.5268239,0.5499632,0.45925916499999997,0.8049999999999999,0.43719512195121946,0.23500000000000004,0.8225609756097559,0.41560975609756107,1.078156626552387,0.23933990082155415,0.0745445783560841,0.1482965305717032,-0.018920351631175836,0.01358219202044565
Balanced,Inflationary Tightening,0.56685595,0.5268239,0.554992795,0.45925916499999997,0.8049999999999999,0.43719512195121946,0.23500000000000004,0.8225609756097559,0.41560975609756107,1.060851684499084,0.20447273333484228,0.15727753782862197,0.14568502863236488,0.002446235321733499,0.013017213601403057
Conservative,Inflationary Tightening,0.5622726650000001,0.5268239,0.557672755,0.45925916499999997,0.8049999999999999,0.43719512195121946,0.23500000000000004,0.8225609756097559,0.41560975609756107,1.0403394670320112,0.1654686054984838,0.250335335642305,0.1436424755094174,0.026005366590040855,0.012268334985059363
Macro-Sensitive,Inflationary Tightening,0.56685595,0.5268239,0.554992795,0.46734189,0.8049999999999999,0.43719512195121946,0.23500000000000004,0.8225609756097559,0.41560975609756107,1.0385010100506342,0.16068339740864399,0.27097384720072276,0.14140771412654143,0.02807291050591375,0.011969226818400076
Aggressive,Neutral,0.5701913999999999,0.5268239,0.5499632,0.45925916499999997,0.36116504854368936,0.5514239482200647,0.5772815533980582,0.3337864077669903,0.45983818770226537,1.0822976549421577,0.27405924997555003,0.019144286488119028,0.15759487067737155,-0.04636401658068553,0.01220444385187707
Balanced,Neutral,0.56685595,0.5268239,0.554992795,0.45925916499999997,0.36116504854368936,0.5514239482200647,0.5772815533980582,0.3337864077669903,0.45983818770226537,1.0649927128888548,0.23919208248883822,0.10187724596065689,0.1549833687380332,-0.02499742962777616,0.011639465432834476
Conservative,Neutral,0.5622726650000001,0.5268239,0.557672755,0.45925916499999997,0.36116504854368936,0.5514239482200647,0.5772815533980582,0.3337864077669903,0.45983818770226537,1.044480495421782,0.20018795465247968,0.19493504377433987,0.1529408156150857,-0.0014382983594687995,0.010890586816490782
Macro-Sensitive,Neutral,0.56685595,0.5268239,0.554992795,0.46734189,0.36116504854368936,0.5514239482200647,0.5772815533980582,0.3337864077669903,0.45983818770226537,1.042642038440405,0.1954027465626399,0.21557355533275765,0.15070605423220979,0.0006292455564041038,0.010591478649831496
Aggressive,Recession,0.5701913999999999,0.5268239,0.5499632,0.45925916499999997,0.3382539682539683,0.16063492063492063,0.8523809523809525,0.31015873015873013,0.869047619047619,1.03263278274893,0.24908324988112296,-0.04237540879859786,0.2052580597914807,-0.027363147532363304,0.012001864009732233
Balanced,Recession,0.56685595,0.5268239,0.554992795,0.45925916499999997,0.3382539682539683,0.16063492063492063,0.8523809523809525,0.31015873015873013,0.869047619047619,1.015327840695627,0.21421608239441112,0.04035755067394001,0.20264655785214236,-0.005996560579453976,0.01143688559068964
Conservative,Recession,0.5622726650000001,0.5268239,0.557672755,0.45925916499999997,0.3382539682539683,0.16063492063492063,0.8523809523809525,0.31015873015873013,0.869047619047619,0.9948156232285543,0.1752119545580526,0.13341534848762296,0.20060400472919487,0.017562570688853387,0.010688006974345946
Macro-Sensitive,Recession,0.56685595,0.5268239,0.554992795,0.46734189,0.3382539682539683,0.16063492063492063,0.8523809523809525,0.31015873015873013,0.869047619047619,0.9929771662471771,0.17042674646821282,0.15405386004604074,0.19836924334631892,0.01963011460472629,0.01038889880768666
