split,factor,rmse,mae,r2
test,Mkt-RF,0.12894568328834463,0.11277663649854783,0.1026618907534329
test,SMB,0.2047266511760652,0.15499413396648717,0.1969946266987519
test,HML,0.3292952030374042,0.2899897479612112,0.47832557332786996
test,RMW,0.13405951852644749,0.11021998863764902,-0.2056760280251957
test,CMA,0.1501622001350288,0.12350621834967809,0.3613500180612923
test,Alpha,0.005008790392717035,0.0036704065249648435,0.1483484914361497
train,Mkt-RF,0.1123607409566015,0.09379501194240712,0.3814789091377756
train,SMB,0.19292213116267362,0.157634874585115,0.3055754354843071
train,HML,0.3962208597458347,0.34210461911374945,0.2426702837318495
train,RMW,0.142666550809021,0.10471601671393219,0.05735958443275058
train,CMA,0.16454117508806823,0.1326046618759355,0.19858160927772894
train,Alpha,0.006067844387894429,0.0029383712683085095,0.09816320166845371
