epoch,batch_train_loss,train_loss,test_loss
1,0.004621720178254757,0.0014660387532785535,0.0016505983658134937
2,0.0007036509553702682,0.00017195555847138166,0.00019281907589174807
3,0.0001749563836513637,5.914563007536344e-05,0.00017803303489927202
4,6.776279732143136e-05,4.462725337361917e-05,0.0001399913162458688
5,3.6973771802219845e-05,3.061615279875696e-05,0.0001015546586131677
6,2.8075463079261113e-05,2.7181626137462445e-05,9.990056423703209e-05
7,2.8377814419674183e-05,2.4681494323886e-05,8.189491927623749e-05
8,2.44833380583511e-05,2.2591160814044997e-05,7.994435145519674e-05
9,2.453673858173102e-05,2.387259155511856e-05,7.704924792051315e-05
10,2.613843823481542e-05,2.1656953322235495e-05,7.323930913116783e-05
11,2.37881877950143e-05,2.3608066840097308e-05,8.415044430876151e-05
12,2.259798100742747e-05,2.0899655282846652e-05,7.581247336929664e-05
13,2.2596061443250785e-05,2.071304334094748e-05,7.372190157184377e-05
14,2.14624077901146e-05,2.0313545974204317e-05,7.819905295036733e-05
15,2.2201603913191617e-05,2.287654388055671e-05,7.945946708787233e-05
16,2.4827253249654806e-05,2.1330559320631437e-05,7.794327393639833e-05
17,2.322780644343689e-05,3.0246954338508658e-05,9.211434371536598e-05
18,2.268757101752184e-05,1.9587316273828037e-05,7.229042967082933e-05
19,2.0582928015525784e-05,1.9338340280228294e-05,7.330325752263889e-05
20,1.9916805169749894e-05,2.0750992916873656e-05,7.550630834884942e-05
21,2.0163925868670838e-05,1.8848613763111643e-05,7.224591536214575e-05
22,2.0961302008405495e-05,1.8220162019133568e-05,7.253347575897351e-05
23,2.0318518140099393e-05,2.0608267732313834e-05,7.57720772526227e-05
24,2.129415749210699e-05,1.9116219846182503e-05,7.548608118668199e-05
25,2.0477924855700864e-05,1.9274082660558634e-05,7.530100992880762e-05
26,1.9536839361710708e-05,1.7618305719224736e-05,7.130161975510418e-05
27,1.85322830376723e-05,2.2307074686978012e-05,8.063250425038859e-05
28,2.1049172749163594e-05,1.9089344277745113e-05,8.471906039630994e-05
29,2.6432598591431505e-05,1.8536620700615458e-05,7.611211185576394e-05
30,2.043472209974074e-05,2.6999678084393963e-05,8.367844566237181e-05
31,2.0388982616223294e-05,1.9037670426769182e-05,7.658323738723993e-05
32,2.2203497546907314e-05,1.7301963453064673e-05,7.978619396453723e-05
33,2.202620159649481e-05,2.0426921764737926e-05,7.498276681872085e-05
34,2.0170390513179968e-05,1.7312157069682144e-05,7.453436410287395e-05
35,2.1575994307283277e-05,1.732228702167049e-05,7.800803723512217e-05
36,1.882520538133412e-05,2.8843749532825314e-05,8.786463149590418e-05
37,2.2893039006824012e-05,1.9758572307182476e-05,7.074679160723463e-05
38,2.035555101111279e-05,1.69447303051129e-05,7.424702198477462e-05
39,1.973217285155103e-05,2.032415068242699e-05,9.055050031747669e-05
40,1.8467415385937084e-05,1.480327955505345e-05,7.800609455443919e-05
41,1.7360919084612432e-05,1.4792004549235571e-05,7.571194873889908e-05
42,1.827438626857755e-05,1.5930938388919458e-05,7.329653453780338e-05
43,1.7530134827682625e-05,1.7776166714611463e-05,7.784377521602437e-05
44,2.0407677413503e-05,2.3130527551984414e-05,9.087175567401573e-05
45,1.8607138861033854e-05,1.7110372937167995e-05,7.354685658356175e-05
46,1.5669924752991534e-05,1.562707984703593e-05,8.363381493836641e-05
47,1.7584145575984806e-05,1.8769311282085255e-05,7.499152707168832e-05
48,1.747042862193502e-05,1.6737649275455624e-05,7.796628779033199e-05
49,1.9950988793294002e-05,1.4095360711507965e-05,7.886381354182959e-05
50,2.5351455756701552e-05,3.0161207178025506e-05,0.00010066136746900156
51,2.4987021632946983e-05,1.4499492863251362e-05,8.285095827886835e-05
52,1.6007483797025144e-05,1.6306845282088034e-05,7.591345638502389e-05
53,1.8468097686670798e-05,1.3112005035509355e-05,7.832495612092316e-05
54,1.9539274366120864e-05,1.537031857878901e-05,7.381326577160507e-05
55,1.834014316067711e-05,2.522392060200218e-05,0.00010442236089147627
56,2.3995005417473514e-05,1.552269168314524e-05,7.707443728577346e-05
57,1.6720077509084345e-05,1.5278752471203916e-05,8.461768447887152e-05
58,1.521950713600767e-05,1.3166318240109831e-05,8.418210200034082e-05
59,1.4307001629824672e-05,1.2626692296180408e-05,7.858860772103071e-05
60,1.3054498658566007e-05,1.2252284250280354e-05,8.05602758191526e-05
